epsilon,n,k,result,time
0.1,4000,115490,115489,72.92901611328125
0.2,4000,115490,115490,73.21840596199036
0.30000000000000004,4000,115490,115489,58.74606275558472
0.4,4000,115490,115489,52.63494372367859
0.5,4000,115490,115484,47.16799449920654
0.6000000000000001,4000,115490,115484,43.693625926971436
0.7000000000000001,4000,115490,115481,41.41999912261963
0.8,4000,115490,115481,40.249006271362305
0.9,4000,115490,115484,39.31599712371826
1.0,4000,115490,115484,37.449000120162964
1.1,4000,115490,115484,36.251283168792725
1.2000000000000002,4000,115490,115484,34.61299800872803
1.3,4000,115490,115484,33.878998041152954
1.4000000000000001,4000,115490,115333,33.58199620246887
1.5,4000,115490,115333,32.42500042915344
1.6,4000,115490,114972,30.821998119354248
1.7000000000000002,4000,115490,114801,28.969997882843018
1.8,4000,115490,114573,28.220999717712402
1.9000000000000001,4000,115490,114762,26.075997829437256
2.0,4000,115490,114626,24.924864053726196
