test_type,n,k,result,time_taken,memory_used
fptas_classic,242,220,220,0.008999824523925781,2200
fptas_classic,354,342,342,0.01900005340576172,3256
fptas_classic,356,349,349,0.018999814987182617,3256
fptas_classic,236,197,197,0.007999658584594727,2200
fptas_classic,436,416,416,0.02700042724609375,3704
fptas_classic,198,170,170,0.005999565124511719,1656
fptas_classic,272,255,255,0.011000394821166992,2520
fptas_classic,406,403,403,0.023998260498046875,3704
fptas_classic,344,328,328,0.017000675201416016,2872
fptas_classic,298,281,281,0.012998580932617188,2520
fptas_classic,116,86,86,0.002000093460083008,1080
fptas_classic,486,465,465,0.03400063514709473,4216
fptas_classic,214,188,188,0.007000923156738281,1912
fptas_classic,378,343,343,0.020000934600830078,3256
fptas_classic,230,188,188,0.007001399993896484,1912
fptas_classic,268,245,245,0.01100015640258789,2520
fptas_classic,368,359,359,0.019999980926513672,3256
fptas_classic,376,346,346,0.019998788833618164,3256
fptas_classic,184,156,156,0.004999399185180664,1656
fptas_classic,408,367,367,0.0240018367767334,3704
fptas_increasing_n,200,157,157,0.0059969425201416016,1912
fptas_increasing_n,2000,1994,1994,0.5919997692108154,16184
fptas_increasing_n,2200,2194,2194,0.7349987030029297,18232
fptas_increasing_n,2400,2366,2366,0.8689987659454346,20536
fptas_increasing_n,2600,2582,2582,1.0310025215148926,23128
fptas_increasing_n,2800,2775,2775,1.2130775451660156,23128
fptas_increasing_n,3000,2990,2990,1.3551990985870361,26040
fptas_increasing_n,3200,3165,3165,1.5469999313354492,26040
fptas_increasing_n,3400,3375,3375,1.7409961223602295,29336
fptas_increasing_n,3600,3579,3579,1.9619994163513184,29336
fptas_increasing_n,3800,3784,3784,2.1819992065429688,33048
fptas_increasing_n,400,360,360,0.037000417709350586,3704
fptas_increasing_n,4000,3963,3963,2.360999345779419,33048
fptas_increasing_n,600,593,593,0.06499886512756348,5432
fptas_increasing_n,800,781,781,0.09600019454956055,6936
fptas_increasing_n,1000,981,981,0.14799904823303223,8856
fptas_increasing_n,1200,1193,1193,0.21399998664855957,10008
fptas_increasing_n,1400,1386,1386,0.2869999408721924,11288
fptas_increasing_n,1600,1581,1581,0.38900065422058105,14360
fptas_increasing_n,1800,1776,1776,0.4890000820159912,16184
